Pontos,FGM,FGA,Aproveitamento_Campo,Aproveitamento_3P,Aproveitamento_LT,Reb_Ofensivo,Reb_Defensivo,Assistências,Turnovers,Roubos,Bloqueios,Altura,Peso,Posicao,prediction_label,prediction_score,Acertou,Acertou_Texto
18.3,5.9,13.2,44.7,40.7,81.1,0.3,3.2,1.8,0.7,0.7,0.2,1.9558,92.98636,SG,SG,0.6666,True,Sim
16.8,6.1,8.7,70.3,75.0,70.0,5.4,7.2,3.5,3.7,1.6,2.1,2.1844,111.13004,C,C,0.9974,True,Sim
14.1,5.3,15.9,33.3,0.0,50.0,7.0,3.5,1.8,0.0,3.5,0.0,2.032,97.52228,PF,SF,0.5708,False,Não
22.0,8.8,16.9,51.9,30.5,69.1,3.2,6.4,6.7,3.4,1.3,1.2,2.1082,110.222855,C,C,0.5528,True,Sim
15.6,5.9,11.8,50.0,30.0,75.0,3.0,3.0,3.0,1.3,2.1,0.0,2.0066,99.79024,SF,SF,0.5473,True,Sim
11.7,4.9,11.5,43.1,40.0,40.0,1.6,2.7,9.9,5.6,1.1,0.0,1.9812,90.7184,PG,PG,0.9879,True,Sim
17.5,6.7,14.8,45.1,32.7,83.0,1.7,1.8,2.7,1.8,0.8,0.3,1.9558,87.99685,SG,SG,0.7795,True,Sim
15.9,5.3,12.2,44.0,38.3,74.0,1.4,5.7,1.9,1.6,0.9,2.2,2.1082,113.398,C,C,0.5005,True,Sim
12.6,4.0,12.4,32.0,19.0,78.9,2.2,3.0,3.0,2.0,2.0,1.0,1.8796,95.25432,SG,SG,0.7757,True,Sim
24.0,8.1,19.8,41.1,32.9,82.3,0.6,10.5,5.9,2.7,1.5,0.2,2.032,95.25432,SF,SF,0.7353,True,Sim
11.0,4.6,8.8,52.0,50.0,57.7,6.2,7.2,1.9,1.6,1.4,2.5,2.0828,116.11955,C,C,0.9979,True,Sim
15.0,5.4,8.5,64.0,20.0,75.8,3.1,6.8,1.0,2.0,0.4,2.5,2.1082,109.769264,C,C,0.974,True,Sim
